"timestamp","email_hash","article_rank","reaction","send_date"
"2026-07-27T08:29:37Z","fa8c2f10f62d6925b9b7b0a4c27a7669","1","like","2026-07-27"
"2026-07-27T08:29:39Z","fa8c2f10f62d6925b9b7b0a4c27a7669","2","like","2026-07-27"
"2026-07-27T08:29:40Z","fa8c2f10f62d6925b9b7b0a4c27a7669","3","meh","2026-07-27"
"2026-07-27T08:29:41Z","fa8c2f10f62d6925b9b7b0a4c27a7669","4","like","2026-07-27"
"2026-07-27T08:29:42Z","fa8c2f10f62d6925b9b7b0a4c27a7669","5","dislike","2026-07-27"
"2026-07-27T08:29:44Z","fa8c2f10f62d6925b9b7b0a4c27a7669","6","meh","2026-07-27"
"2026-07-27T08:29:45Z","fa8c2f10f62d6925b9b7b0a4c27a7669","7","like","2026-07-27"
"2026-07-27T08:29:47Z","fa8c2f10f62d6925b9b7b0a4c27a7669","8","dislike","2026-07-27"
