"timestamp","email_hash","article_rank","reaction","send_date"
"2026-04-28T08:34:25Z","752bcf5b530e8fcccbe473bd1b381b34","1","meh","2026-04-28"
"2026-04-28T08:34:26Z","752bcf5b530e8fcccbe473bd1b381b34","2","meh","2026-04-28"
"2026-04-28T08:34:27Z","752bcf5b530e8fcccbe473bd1b381b34","3","meh","2026-04-28"
"2026-04-28T08:34:28Z","752bcf5b530e8fcccbe473bd1b381b34","4","meh","2026-04-28"
"2026-04-28T08:34:29Z","752bcf5b530e8fcccbe473bd1b381b34","5","meh","2026-04-28"
"2026-04-28T08:34:30Z","752bcf5b530e8fcccbe473bd1b381b34","6","meh","2026-04-28"
"2026-04-28T08:34:31Z","752bcf5b530e8fcccbe473bd1b381b34","7","meh","2026-04-28"
"2026-04-28T08:34:32Z","752bcf5b530e8fcccbe473bd1b381b34","8","meh","2026-04-28"
"2026-04-28T08:34:33Z","752bcf5b530e8fcccbe473bd1b381b34","9","meh","2026-04-28"
