"timestamp","email_hash","send_date"
"2026-08-25T05:28:39Z","2940c1e6b1c8f18c92cdb49dccec1c43","2026-08-25"
"2026-08-25T05:29:02Z","823ae098e437f5659340e1aafd490f70","2026-08-25"
"2026-08-25T05:29:03Z","06baa2e16de012afe352f6f906de3908","2026-08-25"
"2026-08-25T05:29:05Z","fdbb42b495f9d9864d5912e4cb096fb9","2026-08-25"
"2026-08-25T05:38:50Z","e056a42a8f7ea847cb12d674017adb4f","2026-08-25"
"2026-08-25T06:06:36Z","1b4a4aa2ea4b842a231f49e4d39b4e5b","2026-08-25"
"2026-08-25T06:17:15Z","fa8c2f10f62d6925b9b7b0a4c27a7669","2026-08-25"
"2026-08-25T07:19:58Z","6e7ad3404407705ca64c7f9e05d25674","2026-08-25"
"2026-08-25T07:21:02Z","9eb08ef5f994dddf7062aa4ddd094153","2026-08-25"
"2026-08-25T07:56:34Z","d8cc5ed8b60e95a53f485a733d23163d","2026-08-25"
"2026-08-25T08:04:18Z","c7df70e92f67a25712514c75116a244f","2026-08-25"
"2026-08-25T08:17:34Z","752bcf5b530e8fcccbe473bd1b381b34","2026-08-25"
"2026-08-25T09:46:33Z","4b56a19abf112ca13d9fd95562b6a5a8","2026-08-25"
"2026-08-25T14:41:28Z","a2b50a90bc1db98b0f27f36c7d9796a7","2026-08-25"
"2026-08-26T09:41:50Z","752bcf5b530e8fcccbe473bd1b381b34","2026-08-25"
"2026-08-26T13:49:06Z","legacy","2026-08-25"
