"timestamp","send_date","reasons","free_text"
"2026-04-01T15:05:35.652244","2026-04-01","too_long",""
"2026-04-01T15:24:27.771140","2026-04-01","too_frequent",""
"2026-04-01T16:39:10.704228","2026-04-01","other",""
"2026-04-01T16:44:17.494392","2026-04-01","too_long",""
"2026-04-01T16:45:49.732576","2026-04-01","never_signed",""
"2026-04-01T16:57:42.872376","2026-04-01","other",""
"2026-05-01T07:26:29.978687","2026-05-01","other","Trop bien pour moi"
"2026-07-14T10:56:27.707743","2026-07-14","too_frequent",""
"2026-08-19T07:16:31.715298","2026-08-19","too_frequent",""
